text,intent,sentiment
Kindly assist me. I am experiencing packet loss issue with my fiber connection in India.,Technical,Neutral
I am satisfied with the service. I was charged twice $150 for my 5G service in India via email support.,Billing,Positive
I am unhappy with the service. I am experiencing connection drops with my broadband in US.,Technical,Negative
This is unacceptable. I was overcharged $40 for my SIM card in India via call center.,Billing,Negative
This is unacceptable. I want to report long waiting time regarding fiber connection support in UK.,Complaint,Negative
I am very disappointed. I am experiencing connection drops with my family plan in UAE.,Technical,Negative
This situation is frustrating. I am experiencing packet loss issue with my mobile plan in South Africa.,Technical,Negative
Thank you for your assistance. I was charged twice $30 for my 5G service in UK via customer support.,Billing,Positive
Kindly assist me. I would like information about contract terms and family sharing for the fiber connection.,Product Inquiry,Neutral
I am unhappy with the service. I am experiencing network outage with my family plan in Australia.,Technical,Negative
I am satisfied with the service. I was charged extra $10 for my data pack in Singapore via mobile app.,Billing,Positive
This situation is frustrating. I requested a refund of $75 for my broadband purchased in UAE.,Refund,Negative
This situation is frustrating. I would like information about upgrade options and international roaming for the mobile plan.,Product Inquiry,Negative
Glad this was resolved. I would like information about plan benefits and 5G access for the family plan.,Product Inquiry,Positive
Thank you for your assistance. I want to report unhelpful support regarding router support in UAE.,Complaint,Positive
This situation is frustrating. I requested a refund of $20 for my international roaming purchased in France.,Refund,Negative
I need some information. I would like information about international coverage and cloud storage for the WiFi extender.,Product Inquiry,Neutral
Thanks for the quick support. I would like information about contract terms and data rollover for the WiFi extender.,Product Inquiry,Positive
I appreciate your help. I am experiencing packet loss issue with my fiber connection in UK.,Technical,Positive
Glad this was resolved. I was charged extra $120 for my broadband in UAE via customer support.,Billing,Positive
I am very disappointed. I am experiencing packet loss issue with my family plan in Australia.,Technical,Negative
This is unacceptable. I requested a refund of $120 for my 5G service purchased in India.,Refund,Negative
Thanks for the quick support. I would like information about data limits and international roaming for the family plan.,Product Inquiry,Positive
I am very disappointed. I would like information about contract terms and unlimited calls for the family plan.,Product Inquiry,Negative
This is unacceptable. I am experiencing slow internet with my router in UK.,Technical,Negative
I would like clarification. I would like information about plan benefits and data rollover for the fiber connection.,Product Inquiry,Neutral
Could you help me? I would like information about data limits and cloud storage for the router.,Product Inquiry,Neutral
Could you help me? I am experiencing unstable connection with my router in South Africa.,Technical,Neutral
I appreciate your help. I would like information about pricing details and 5G access for the broadband.,Product Inquiry,Positive
I would like clarification. I was given wrong invoice $40 for my SIM card in US via call center.,Billing,Neutral
This is unacceptable. I was tax miscalculated $30 for my fiber connection in Singapore via live chat.,Billing,Negative
This situation is frustrating. I would like information about upgrade options and 5G access for the data pack.,Product Inquiry,Negative
I am extremely frustrated. I would like information about international coverage and 5G access for the family plan.,Product Inquiry,Negative
I appreciate your help. I want to report delayed response regarding international roaming support in Singapore.,Complaint,Positive
Thanks for the quick support. I am experiencing DNS error with my router in UAE.,Technical,Positive
